,x,y,label
BJ8464,10.577164,12.438895,up_right
BJ8466,9.971286,13.741133,up_right
BJ8469,3.839662,10.136536,down_left
BJ8470,0.5896832,9.769062,up_left
BJ8471,10.25547,13.004837,up_right
BJ8472,7.1224113,13.54946,down_right
BJ8473,4.3147717,12.424802,down_left
BJ8474,1.4710921,8.680024,up_left
BJ8475,0.83063805,10.491718,up_left
BJ8476,10.103369,13.968802,up_right
BJ8477,10.393399,13.483012,up_right
BJ8478,1.9740773,8.92355,up_left
BJ8480,1.4391692,8.673657,up_left
BJ8481,3.7282155,10.087515,down_left
BJ8482,9.794107,12.912975,up_right
BJ8483,10.345253,13.446494,up_right
BJ8484,9.3116455,14.094594,up_right
BJ8486,4.26451,9.513089,down_left
BJ8487,9.46629,13.554509,up_right
BJ8489,1.0837768,8.927989,up_left
BJ8490,1.3390415,8.484685,up_left
BJ8491,3.8054311,9.598404,down_left
BJ8493,6.1343293,12.475259,down_right
BJ8494,6.7613106,12.79225,down_right
BJ8495,1.3307666,10.164148,up_left
BJ8496,9.358025,14.596024,up_right
BJ9003,10.355931,14.123632,up_right
BJ9004,6.7719636,14.159071,down_right
BJ9006,7.106463,12.092107,down_right
BJ9007,7.161926,11.31808,down_right
BJ9008,1.566234,10.887353,up_left
BJ9009,7.1956763,15.035626,down_right
BJ9010,1.2646195,11.386392,up_left
BJ9011,9.137079,15.64503,up_right
BJ9012,6.695197,14.834086,down_right
BJ9013,8.820211,15.91443,up_right
BJ9014,6.030935,13.717045,down_right
BJ9015,7.028127,15.318861,down_right
BJ9016,9.149096,15.642891,up_right
BJ9017,3.6267774,10.936173,down_left
BJ9018,6.9631267,13.71111,down_right
BJ9019,9.314544,15.555692,up_right
BJ9020,1.2074622,9.889741,up_left
BJ9021,6.6736526,13.305114,down_right
BJ9022,1.3046397,11.601637,up_left
BJ9024,3.1521807,12.0053215,down_left
BJ9025,6.8407927,14.696387,down_right
BJ9026,7.0162835,15.393564,down_right
BJ9027,6.6581774,14.239483,down_right
BJ9028,3.2928114,11.568077,down_left
BJ9029,10.1635065,14.381444,up_right
BJ9030,6.7599006,15.214928,down_right
BJ9031,9.24701,15.558616,up_right
BJ9032,8.669074,15.554979,up_right
BJ9033,1.59183,8.313959,up_left
BJ9034,9.7805805,13.0889635,up_right
BJ9036,0.777095,8.489913,up_left
BJ9038,9.149314,14.09912,up_right
BJ9040,0.9377683,7.415196,up_left
BJ9042,1.0012717,7.2953863,up_left
BJ9043,4.187157,8.357526,down_left
BJ9045,10.354524,12.194935,up_right
BJ9046,4.403903,8.909007,down_left
BJ9048,3.8374214,8.877659,down_left
BJ9049,10.405366,12.234314,up_right
BJ9050,9.072965,14.668056,up_right
BJ9051,9.990401,13.334911,up_right
BJ9056,4.276949,9.677103,down_left
BJ9057,10.159423,14.305981,up_right
BJ9058,8.135684,14.227726,down_right
BJ9059,6.9257145,11.791245,down_right
BJ9060,1.1273175,8.539435,up_left
BJ9061,8.4590025,13.644381,down_right
BJ9063,7.7067337,13.814994,down_right
BJ9064,3.6570554,8.100456,down_left
BJ9066,4.4642296,9.868279,down_left
BJ9067,9.149861,14.874175,up_right
BJ9069,9.235061,14.732258,up_right
BJ9070,7.623864,13.719775,down_right
BJ9071,2.9442503,9.827883,up_left
BJ9072,7.078926,12.0698,down_right
BJ9073,10.207726,12.841065,up_right
BJ9075,8.407878,15.586456,up_right
BJ9076,7.05511,11.488637,down_right
BJ9077,2.886706,10.935997,down_left
BJ9078,7.6334023,14.477132,down_right
BJ9079,10.204723,12.671119,up_right
BJ9080,8.041346,14.366345,down_right
BJ9081,1.4282144,8.567939,up_left
BJ9082,4.2001247,8.254727,down_left
BJ9083,9.363366,14.979801,up_right
BJ9084,3.4999006,8.19153,down_left
BJ9085,7.7546363,13.962031,down_right
BJ9086,8.47437,13.692525,down_right
BJ9087,2.040365,11.322798,up_left
BJ9088,9.160925,15.131358,up_right
BJ9089,3.0232995,10.955635,down_left
BJ9090,0.6913061,8.689797,up_left
BJ9091,1.9071199,9.842188,up_left
BJ9094,3.8336256,8.253587,down_left
BJ9097,1.0737624,11.0517645,up_left
BJ9099,9.778952,12.965001,up_right
BJ9100,3.8733504,7.8166547,down_left
BJ9101,1.6009648,9.826325,up_left
BJ9105,9.874083,12.743775,up_right
BJ9108,2.966362,10.7419,down_left
BJ9109,2.424636,9.685621,up_left
BJ9110,1.511272,10.372227,up_left
BJ9111,10.109493,12.585088,up_right
BJ9112,10.083946,12.1868725,up_right
BJ9113,2.3342054,9.375843,up_left
BJ9114,8.862747,14.605799,up_right
BJ9115,6.9145994,13.707306,down_right
BJ9116,7.232044,13.924577,down_right
BJ9117,6.1485057,12.883215,down_right
BJ9118,10.218215,12.404462,up_right
BJ9119,1.1962926,8.594424,up_left
BJ9121,1.3876121,10.407846,up_left
BJ9122,3.7172854,9.172636,down_left
BJ9123,1.7979714,10.99979,up_left
BJ9124,3.873115,10.797371,down_left
BJ9125,9.239593,14.175767,up_right
BJ9126,0.69183254,10.339249,up_left
BJ9127,4.1647334,9.539611,down_left
BJ9128,7.1956177,14.276145,down_right
BJ9130,7.129077,12.418166,down_right
BJ9132,6.0924406,12.51889,down_right
BJ9133,7.0759864,13.700216,down_right
BJ9135,3.9402764,7.6929936,down_left
BJ9136,0.9413042,8.524133,up_left
BJ9137,2.4890277,9.811801,up_right
BJ9138,3.9230485,10.056993,down_left
BJ9139,7.1638474,11.676896,down_right
BJ9142,3.8163633,9.86301,down_left
BJ9143,4.475559,10.961478,down_left
BJ9145,3.9417443,9.056823,down_left
BJ9148,4.5181713,9.352363,down_left
BJ9149,6.856199,13.474236,down_right
BJ9150,10.503105,13.543735,up_right
BJ9151,0.89963317,7.555581,up_left
BJ9152,7.1263113,12.465617,down_right
BJ9154,3.9832463,9.296695,down_left
BJ9155,6.77229,12.984855,down_right
BJ9156,1.1093862,9.589774,up_left
BJ9157,1.6252369,9.025927,up_left
BJ9158,10.641667,12.3973055,up_right
BJ9159,4.5765433,10.153641,down_left
BJ9160,2.8524892,10.890157,down_left
BJ9165,6.7967834,13.391015,down_right
BJ9171,10.790999,12.656836,up_right
BJ9173,7.606729,13.429894,down_right
BJ9174,7.1276803,12.620024,down_right
BJ9176,1.6965292,9.04865,up_left
BJ9177,10.817118,12.533537,up_right
BJ9178,9.768706,13.932371,up_right
BJ9179,10.598367,12.30589,up_right
BJ9180,10.612397,12.919892,up_right
BJ9181,3.97767,8.668639,down_left
BJ9183,3.4963727,12.325015,down_left
BJ9187,3.9815161,8.730022,down_left
BJ9188,7.1679215,11.267768,down_right
BJ9190,4.031393,7.996959,down_left
BJ9191,10.733719,12.40056,up_right
BJ9192,2.2143693,9.796348,up_left
BJ9193,8.808161,15.106047,up_right
BJ9195,7.9808774,14.025245,down_right
BJ9196,7.86974,13.627602,down_right
BJ9197,4.002103,11.937197,down_left
BJ9200,9.6832695,11.476363,up_right
BJ9201,7.068065,11.901079,down_right
BJ9202,1.0822214,8.1421995,up_left
BJ9203,0.83352643,9.759202,up_left
BJ9204,9.187899,14.114283,up_right
BJ9206,1.1233141,8.213301,up_left
BJ9207,0.88672686,10.053568,up_left
BJ9209,1.1475514,8.970287,up_left
BJ9214,3.85416,9.431679,down_left
BJ9215,7.6832385,14.203352,down_right
BJ9216,9.45933,14.800745,up_right
BJ9217,9.475578,15.011672,up_right
BJ9218,1.0882227,8.241016,up_left
BJ9220,8.348925,13.40759,down_right
BJ9223,0.7477435,10.233951,up_left
BJ9224,10.715788,12.619596,up_right
BJ9225,7.234471,12.284686,down_right
BJ9226,4.2588396,8.967115,down_left
BJ9229,3.8652277,9.54376,down_left
BJ9230,8.880934,15.028773,up_right
BJ9231,7.5480943,13.729177,down_right
BJ9232,7.039388,12.196227,down_right
BJ9235,9.8941965,12.642258,up_right
BJ9236,2.684967,9.447091,up_left
BJ9237,6.9898896,12.2740755,down_right
BJ9238,2.05223,8.397428,up_left
BJ9239,1.1966518,11.842212,up_left
BJ9240,3.9727235,7.741241,down_left
BJ9243,3.8363504,7.845698,down_left
BJ9245,4.2236075,9.117801,down_left
BJ9247,4.7295465,10.256292,down_left
BJ9248,10.336713,12.540758,up_right
BJ9249,8.164966,14.184415,down_right
BJ9250,6.8580112,14.3492565,down_right
BJ9252,7.157511,11.442416,down_right
BJ9254,9.253638,13.155636,up_right
BJ9256,0.6828291,8.384182,up_left
BJ9261,7.3199954,13.768121,down_right
BJ9262,0.96362674,7.468364,up_left
BJ9263,0.8778536,7.523526,up_left
BJ9264,3.7794282,11.252895,down_left
BJ9265,7.1094103,12.02701,down_right
BJ9266,4.1537747,11.077461,down_left
BJ9267,7.063394,11.950771,down_right
BJ9268,4.3404717,10.8980465,down_left
BJ9269,4.6739855,10.780306,down_left
BJ9271,1.1374404,8.115543,up_left
BJ9272,1.4415293,10.32793,up_left
BJ9273,9.972038,12.976005,up_right
BJ9274,9.984991,12.753202,up_right
BJ9275,10.584566,12.300752,up_right
BJ9277,4.8360085,10.42177,down_left
BJ9278,8.082708,13.416536,down_right
BJ9279,7.0223966,12.069893,down_right
BJ9280,7.2009244,11.948007,down_right
BJ9282,6.7521787,11.987219,down_right
BJ9283,2.3696077,10.0648,up_left
BJ9286,10.458477,12.294371,up_right
BJ9288,10.534029,12.541823,up_right
BJ9289,8.424965,13.619797,down_right
BJ9294,1.7648909,10.989162,up_left
BJ9297,4.101689,8.352364,down_left
BJ9298,8.492757,13.718679,down_right
BJ9299,9.926295,12.612011,up_right
BJ9300,8.059688,13.363489,down_right
BJ9301,7.540354,14.02224,down_right
BJ9303,3.7690215,8.179361,down_left
BJ9304,1.0264494,8.523321,up_left
BJ9305,10.304118,13.920696,up_right
BJ9308,7.083935,11.450448,down_right
BJ9311,8.341324,14.0991535,down_right
BJ9312,1.2324808,8.877854,up_left
BJ9313,10.214635,13.953697,up_right
BJ9314,0.93583286,7.6106734,up_left
BJ9315,1.3348941,10.043026,up_left
BJ9316,7.033861,14.128964,down_right
BJ9318,1.0595868,8.837959,up_left
BJ9320,7.2205267,12.3625965,down_right
BJ9322,10.138764,14.173515,up_right
BJ9323,6.9976296,14.086915,down_right
BJ9324,6.207178,13.734834,down_right
BJ9326,10.837419,12.559977,up_right
BJ9328,9.547544,15.396879,up_right
BJ9329,7.174606,12.8138485,down_right
BJ9331,9.25342,15.109541,up_right
BJ9332,2.7585738,9.220335,up_left
BJ9335,9.366305,13.5946045,up_right
BJ9342,1.0666069,7.29541,up_left
BJ9343,10.68526,12.335373,up_right
BJ9345,1.0341637,10.328608,up_left
BJ9346,4.3627996,8.8646145,down_left
BJ9347,7.991359,13.43831,down_right
BJ9349,0.9793755,8.1928835,up_left
BJ9350,10.084454,12.72932,up_right
BJ9351,0.62355375,9.084237,up_left
BJ9355,3.7610385,9.288677,down_left
BJ9357,3.7942805,9.477803,down_left
BJ9362,0.899463,7.4115644,up_left
BJ9363,1.0758126,8.3066635,up_left
BJ9364,0.7869981,9.437906,up_left
BJ9365,4.1691194,9.499825,down_left
BJ9366,7.3323555,11.810193,down_right
BJ9367,7.0755153,11.596323,down_right
BJ9368,1.6652721,8.594151,up_left
BJ9372,8.16827,13.323874,down_right
BJ9373,10.255388,13.745288,up_right
BJ9375,10.142934,13.340837,up_right
BJ9376,10.11428,12.152927,up_right
BJ9379,9.769864,14.949141,up_right
BJ9380,0.9391331,7.483846,up_left
BJ9381,10.244504,13.934963,up_right
BJ9384,4.7975225,10.48954,down_left
BJ9385,10.208415,13.723467,up_right
BJ9386,3.8827293,8.069245,down_left
BJ9387,4.9480968,10.4117,down_left
BJ9389,0.6982643,8.572849,up_left
BJ9391,7.0321627,11.713853,down_right
BJ9392,6.776309,14.630205,down_right
BJ9393,7.0275865,12.769216,down_right
BJ9396,0.8704483,7.9952106,up_left
BJ9399,4.349199,9.759042,down_left
BJ9401,3.9303944,7.73851,down_left
BJ9402,9.80097,11.570665,up_right
BJ9403,4.044875,8.31589,down_left
BJ9405,7.0482144,13.409397,down_right
BJ9406,3.9005604,9.518992,down_left
BJ9410,1.266451,9.081681,up_left
BJ9412,3.878423,7.6429434,down_left
BJ9417,8.237732,14.579469,down_right
BJ9418,6.7440705,14.265138,down_right
BJ9419,1.3255149,8.390132,up_left
BJ9420,1.4695817,8.650209,up_left
BJ9421,10.057592,11.973569,up_right
BJ9422,7.120105,11.938993,down_right
BJ9424,1.3575445,9.777939,up_left
BJ9425,2.1453109,9.085436,up_left
BJ9426,10.282078,13.901036,up_right
BJ9427,3.521362,10.748698,down_left
BJ9428,9.897416,14.6150675,up_right
BJ9430,7.790259,13.541498,down_right
BJ9431,7.2869854,11.80556,down_right
BJ9432,4.3537507,8.819942,down_left
BJ9433,7.196703,13.487631,down_right
BJ9434,7.1212792,11.519779,down_right
BJ9435,0.9012011,7.431758,up_left
BJ9437,1.1127089,7.3562503,up_left
BJ9439,7.430712,12.768571,down_right
BJ9440,6.824795,13.720736,down_right
BJ9442,3.9230895,10.735466,down_left
BJ9445,7.2871428,12.062429,down_right
BJ9446,4.137225,8.637454,down_left
BJ9447,3.993953,8.254658,down_left
BJ9448,2.239108,9.046339,up_left
BJ9452,2.474001,10.282726,up_left
BJ9454,10.72021,12.693559,up_right
BJ9455,3.920786,8.087259,down_left
BJ9456,3.8449044,9.102805,down_left
BJ9457,1.2841425,9.183692,up_left
BJ9461,0.6108441,8.927475,up_left
BJ9464,9.657082,13.723119,up_right
BJ9467,4.2245555,8.801064,down_left
BJ9471,0.8163964,9.965763,up_left
BJ9473,6.40492,13.1219425,down_right
BJ9474,10.747235,12.349022,up_right
BJ9475,6.8538113,14.216398,down_right
BJ9476,7.4976363,13.643384,down_right
BJ9478,9.924016,12.976699,up_right
BJ9479,4.2705646,8.336852,down_left
BJ9480,9.792471,14.38184,up_right
BJ9481,0.88692576,7.846165,up_left
BJ9482,1.0219696,7.323799,up_left
BJ9483,3.0092158,10.828993,down_left
BJ9484,4.24158,10.829189,up_left
BJ9486,7.283297,14.503924,down_right
BJ9487,10.553267,12.239479,up_right
BJ9488,8.297791,13.747093,down_right
BJ9489,3.375978,9.09629,down_left
BJ9490,3.3783607,10.892593,down_left
BJ9491,1.7964898,9.7492075,up_left
BJ9492,0.7244939,8.267327,up_left
BJ9494,2.8513258,10.708134,down_left
BJ9495,9.689043,13.548,up_right
BJ9496,0.9613588,7.455847,up_left
BJ9498,6.620066,13.887019,down_right
BJ9499,4.5209312,11.124023,down_left
BJ9500,8.966521,14.092325,up_right
BJ9502,1.6570805,11.158062,up_left
BJ9503,6.9475894,14.110762,down_right
BJ9504,4.686994,12.742448,down_left
BJ9505,1.3809454,11.692506,up_left
BJ9506,1.3967106,9.697071,up_left
BJ9507,6.41139,13.713757,down_right
